event_id,title,description,url
evt_015,15.Ascarium at the New York Aquarium,"Celebrate the season with under-the-sea animals at the New York Aquarium's Ascarium. Kids can enjoy a marine-themed magic shows, Halloween crafts, a scavenger hunt, a costume parade, games and storytelling. Plus, visit with amazing aquatic animals including piranhas, wolf eels, bat sea stars and spider crabs to learn why they're not as ""spooky"" as you might think. New activities this year include a hands-on shark fossil dig where kids can uncover shark teeth to keep. Plus, kids of all ages can add their personal touch to a huge mural the NY Aquarium community is making together to celebrate Halloween, the aquarium and ocean wildlife. Ascarium is included with aquarium admission and runs on October 11–13, 18–19, and 25–26 from 11am-4pm in Coney Island. See the whole list of events and the schedulehere.",https://www.timeout.com/newyork/things-to-do/ascarium-at-the-new-york-aquarium
evt_016,16.Bronx Zoo Harvest Glow,"The only thing better than the Bronx Zoo is the Bronx Zoo at night. The famed zoo's annual family-friendly celebration, Harvest Glow, is back and at its best. Every Thursday-Sunday until October 31, families are invited to explore this immersive jack-o'-lantern trail with its own spin: the 5,000 pumpkins are animal-themed, of course! Senses will be heightened as you explore illuminating ecosystems through the use of music, special effects and dramatic lighting to make sure that you really feel the spookiness. And if that wasn't enough, visitors will have the opportunity to live in the Mesozeric Era while walking amongst over 60 animatronic dinosaurs and pterosaurs at the event's Dinosaur Safari. Paired with the darkness, this prehistoric adventure is not to be missed. Also expect pumpkin carving demos, games, face panting and tons of photo opps.",https://www.timeout.com/newyork/things-to-do/bronx-zoo-harvest-glow
evt_017,17.Schtick a Pole in It,"You won't believe how seamlessly good comedy can work with pole dancing (you can read about ithere). While stellar stand-ups deliver sets, pro dancers give the crowd something stare at. Think of it as a full-brain experience.Comics Dan Goodman, Joanna Ross and special guests will welcome talented pole dancers and comedians from across NYC. Each show features a different musical theme, and each one is full of surprises. This time, on Friday, October 17 and Saturday, October 18, the music of Ozzy Osbourne will take over the speakers for a chance to ""Bark at the Moon"" and get on the ""Crazy Train."" Expect to hear jokes from five comics and see performances by five dancers. ""They're not strippers, it’s not burlesque. It’s aerial dance with a side of crazy gymnastics, and death defying tricks that make your jaw drop,"" event planners explain. As the event organizers say: ""If you don't see shows like this, why are you even paying the NYC rents?"" See it at Drom in the East Village.",https://www.timeout.com/newyork/comedy/schtick-a-pole-in-it-show
evt_018,"18.""Robert Rauschenberg: Life Can't Be Stopped"" at the Guggenheim","A century ago this fall, Robert Rauschenberg was born in Texas. He went on to become a Pop art pioneer and one of the most renowned American artists of this era. Now, museums and galleries across the globe are planning shows that honor the artist's expansive creativity, spirit of curiosity and commitment to change. For its part, NYC'sGuggenheim Museumon the Upper East Side will host a major show called ""Robert Rauschenberg: Life Can't Be Stopped,"" running through April 5, 2026. The show will feature more than a dozen historic pieces, including Rauschenberg's monumental painting ""Barge,"" all which reflect the artist’s radical legacy.",https://www.timeout.com/newyork/news/a-major-rauschenberg-exhibit-is-coming-to-the-guggenheim-museum-this-fall-080125
evt_019,"19.""The Mastermind"" movie","The title of Kelly Reichardt’s(Certain Women) bone-dry art heist comedy, set in the ‘70s of Vietnam War protests and waterbed sales, is strictly tongue-in-cheek. Not only is he not a mastermind, Josh O’Connor’s unemployed Massachusetts carpenter James Blaine ‘JB’ Mooney would makeFargo’s Jerry Lundegaard look like the last word in criminal competence. Mooney plans to steal four abstract – and fairly low value – portraits by modernist painter Arthur Dove from his local gallery based loosely on a real-life 1973 heist of Massachusetts’s Worcester Art Museum, With the vinyl feel of ’70s cinema and powered by Rob Mazurek’s jazzy heist movie score,The Masterminda wonderfully evocative of a very specific moment in pre-Watergate America: a time of campus protests, fugitives from the draft, and political awakening. Nicely played with an on-form O’Connor, the frowning, sweater-clad Mooney is a counterpoint to all of that. He’s only a runaway from his own life. See it in theaters as of October 17.",https://www.timeout.com/movies/the-mastermind-review-2025
evt_020,"20.""Dress, Dreams and Desire: Fashion and Psychoanalysis"" at The Museum at FIT","In the year 2025, how we dress is still the highest form of free self expression—and the role that gender plays in fashion has broken norms, especially in the last decade. In a new exhibit from The Museum at Fashion Institute of Technology, the road to this gender fluid fashion is examined, beginning in the 1900s. Explore body image, dreams, desires, sexuality and the unconscious in almost 100 items of dress as part of the new, free exhibition ""Dress, Dreams and Desire: Fashion and Psychoanalysis"" on view through January 4, 2026.This work explores the history of designerssuch asAzzedine Alaia, Gabrielle ""Coco"" Chanel, WillyChavarria, Bella Freud, John Galliano for Christian Dior, Vivienne Westwood, Gianna and Donatella Versace,Alexander McQueen and more.",https://www.timeout.com/newyork/news/this-new-exhibit-at-the-museum-at-fit-merges-fashion-and-psychoanalysis-100225
evt_021,"21.""The Black Phone 2"" film","When a horror movie hits, a sequel usually follows very closely.The Black Phonewas a critical and commercial success in 2021, so it’s surprising it’s taken four years for a follow-up. That wait, though, turns out to be a very smart move. Four years have also passed inBlack Phone 2’s reality. That time has not healed Finn and his sister Gwen (again played by Mason Thames and Madeleine McGraw). In the original, 13-year-old Finn was kidnapped by serial child-killer ‘The Grabber’ (Ethan Hawke) and kept in a basement, awaiting execution. Finn bested the killer with the help of past victims, who contacted him by phone from beyond the grave, and his sister’s peculiar premonitions. There’s still plenty here to make you shiver, but in letting events out of the basement this sequel has also released much of the tension. It's in theaters on October 17.",https://www.timeout.com/movies/the-black-phone-2-review-2025
evt_022,"22.""The Gay Harlem Renaissance"" at The New York Historical","Many New Yorkers know about the Harlem Renaissance, but a new exhibit opening this fall explores a more unknown facet of the era—the Gay Harlem Renaissance.The New York Historicalwill host a new exhibit examining the Black LGBTQ+ artists, writers and performers vital to the Harlem Renaissance and everyday Black gay life in the early 20th century. ""The Gay Harlem Renaissance"" runs until March 8, 2026. This unique exhibit traces queer creativity, friendship circles and mentorships that once flourished in Harlem's salons, social clubs and thriving nightlight. The show also highlights specific Harlem Renaissance poets, novelists and artists—many of whom were gay or bisexual.",https://www.timeout.com/newyork/news/explore-the-gay-harlem-renaissance-in-this-new-exhibit-coming-to-the-new-york-historical-080725
evt_023,23.Reposo y Recuerdo (Rest and Remember) at Green-Wood Cemetery,"Cemeteries are, of course, always good places to remember lost loved ones. But this season, Brooklyn'sGreen-Wood Cemeteryis taking that to new heights as it unveils Reposo y Recuerdo (Rest and Remember), an expansive Día de Muertos ofrenda by acclaimed artist Laura Anderson Barbata. All are welcome to bring photos, flowers or keepsakes to the community altar, creating ""a collective gesture of remembrance and care."" The installation, which features handwoven hammocks, colorful papel picado and cascades of paper marigolds, is now on view in Green-Wood's historic chapel through November 16.",https://www.timeout.com/newyork/news/honor-lost-loved-ones-at-thisdia-de-muertosofrenda-inside-nycs-most-beautiful-cemetery-100825
evt_024,24.New York Hysterical comedy nights,"Enjoy an early-bird hour ofcomedywith acclaimed NYC stand-ups inside a cool venue. Host Tom Delgado, a comedian, actor, tour guide andNewYorkCity history buff, leads a night of laughs at the New York Historical with a rotation of Gotham's finest comedians for four Friday nights in October. Pay-as-you-wish hours are from 5pm to 8pm, so come early or stay late to explore exhibitions from The New York Historical like ""Blacklisted: An American Story"" and ""TheNewYorkSari."" No registration is required and seating is first come, first served. Here are all the dates for October:",https://www.timeout.com/newyork/things-to-do/new-york-hysterical-comedy-nights
evt_025,"25.""Monet and Venice"" at Brooklyn Museum","For those who have long romanticized the floating city of Venice, theBrooklyn Museum's new exhibit will only stoke those desires. Featuring a rare reunion of Claude Monet's iconic Venetian paintings, visitors are encouraged to ""travel"" to this dreamy destination and immerse themselves in art inspired by the city's timeless beauty. ""Monet and Venice"" engages audiences through multi-sensoryelements, including an original symphonic score inspired by Monet's Venice paintings by the Brooklyn Museum's composer in residence, Niles Luther.The collection marks New York's largest museum show dedicated to Monet in over 25 years, featuring 100 artworks, books and memorabilia, including 19 of Monet's paintings of Venice. It's the first dedicated exploration of these pieces since their debut in 1912.] The exhibition is open for visitors from October 11 until February 1, 2026.",https://www.timeout.com/newyork/news/first-look-discover-the-serenity-of-venice-through-nycs-largest-monet-show-in-25-years-100825
evt_026,26.Halloween-Themed Drag Brunches,"Halloween-themed drag brunches are coming to Stella 34 Trattoria all month long. Each event will combine high-energy drag performances with a full brunch menu for the perfect blend of brunch plus spooky seasonentertainment.Costumes are encouraged. You can view the whole drag brunch menuhere. Here's the lineup with ticket links: —Sunday, October 19:'80s vs. '90s Halloween MovieDragBrunchA nostalgic showdown featuring performances inspired by iconic Halloween films from both decades. Performers will battle it out to determine which decade reigns supreme with show-stopping numbers and comedic lip-syncs. —Sunday, October 26:Hocus PocusDragBrunchA frighteningly fun tribute to the beloved film featuring performances inspired by the Sanderson sisters. Expect dancing, comedy, and Halloween magic as the performers bring the witchy energy to life.",https://www.timeout.com/newyork/things-to-do/halloween-themed-drag-brunches
evt_027,"27.""Divine Egypt"" at The Met","The Met's first major exhibition of Egyptian art in over a decade ison its way.From October 21 until January 19, 2026, ""Divine Egypt"" will focus in on images of gods in ancient Egypt. The exhibit considers how these physical tools brought the gods to life for daily worship, offering ancient Egyptians a vital connection between the human and divine worlds. Spanning more than 3,000 years, the Egyptian people's belief system grew to include more than 1,500 gods with many overlapping forms and traits. At the exhibit, expect to see statues and small elegant figurines that represent 25 of ancient Egypt's main deities. Look for subtle visual cues, like what a figure wore, how they posed or the symbols they carried to help identify each one. ""The ways in which the ancient Egyptian gods were depicted are vastly different from the divine beings in contemporary religions and therefore are intriguing to modern audiences,"" said Diana Craig Patch, Lila Acheson Wallace Curator in Charge of Egyptian Art in a press release about the exhibition. ""The identity of an ancient Egyptian god may at first seem easy to recognize but looks can be deceiving, as one form can be shared by many deities. Across more than 3,000 years of history, gods, attributes, roles and myths were rarely dropped from use, yet the Egyptians of the time had no difficulty understanding and accepting the resulting multiplicity. Through hundreds of spectacular objects, 'Divine Egypt' will allow visitors to understand the complex nature of these deities and help translate the images that were needed to make the inhabitants of the celestial realm available to ancient Egyptians."" The exhibition will conclude with artifacts relating to the transition to the next life.",https://www.timeout.com/newyork/museums/divine-egypt-at-the-met
evt_028,28.Classic Harbor Line Fall Foliage Tours,"Want to get out of the city this fall? You're in luck: Classic Harbor Line offers scenic fall foliage sails aboard gorgeous vintage vessels with a front-row seat to the picturesque changing of the seasons stretching from the Hudson River to the Palisades. Cruises run daily through November 16. Enjoy the chance to admire the spectactular fall foliage in a completely new way: By boat! Plus, these elegant 1920s-style yachts make the experience extra special. In addition to gawking at the leaves, you'll also get to see iconic landmarks such as the George Washington Bridge, the Cloisters, the Palisades and the Little Red Light House. Plus, Classic Habor Line offers several more unique options, including the Urban Naturalist Tour: Fall Foliage of the Grand Palisades, which offers a light lunch and narration from an expert on history and nature facts. There's also the Grand Palisades Fall Foliage Schooner Sail if you're looking to travel largely by wind alone, with more time to contemplate the beautiful surroundings.",https://www.timeout.com/newyork/things-to-do/classic-harbor-line-fall-foliage-tours
evt_029,29.Oktoberfest celebrations,"One of the top things to do in New York this fall includes drinking some of the best beer in NYC during Oktoberfest. Take in the beautiful fall foliage while drinking at one of the best beer gardens and German eateries in New York City. This year’s events includeweeks-long waterside parties, brewery bashes and boozy feasts—all with plenty of German (and local!) beer. Prost!",https://www.timeout.com/newyork/things-to-do/the-best-events-for-oktoberfest-in-nyc
evt_030,"30.BUBS candy ""Sweeteasy"" pop-up","There's a magical word in Sweden—""lördagsgodis""—that describes the weekly tradition of indulging in candy every Saturday. Now, you can partake in that tradition (not just on Saturdays) thanks to a newly opened pop-up in Soho from Swedish candy brand BUBS. BUBS has been around since 1992, but it became TikTok famous in 2024 for its chewy-foamy and sweet-sour confections in darling designs. Now, the brand is hosting a ""Sweeteasy,"" a.k.a. its first U.S. pop-up. It's a Wonka-esque wonderland with sweet treats and colorful design at every turn. Inside, you'll find a pick-and-mix candy bar where you can craft your ultimate candy bag ($14.39/pound) with exclusive Swedish-only flavors, plus the brand's new U.S. lineup. Expect tutti-fruti, banana toffee, strawberry vanilla and lemon raspberry confections. There are plenty of photo opps inside, as well, and plenty of BUBS-branded merch you can purchase to take home. Find the Sweeteasy at 69 Mercer Street through October 22. The pop-up is free to enter with no tickets needed. It's open from 11am–7pm Monday-Saturday and 12–5 p.m. Sunday.",https://www.timeout.com/newyork/things-to-do/bubs-candy-sweeteasy-pop-up
evt_031,31.The Future Was Then: The Changing Face of Fascist Italy,"In a society constantly fearing ""fake news"" and manipulation by any prominent voice, there is nothing more important than education against persuasion. ""The Future Was Then: The Changing Face of Fascist Italy"" at Poster House will run until February 22, 2026 to ensure that powerful history is not forgotten. The exhibition follows the rise of Benito Mussolini's fascist regime—and how art played an important part. See 75 pieces from the world-renowned Fondazione Massimo e Sonia Cirulli in Bologna, Italy. This expansive exhibition chronicles the length of Mussolini’s regime, focusing on the often blurred line between propaganda and art.",https://www.timeout.com/newyork/art/the-future-was-then-the-changing-face-of-fascist-italy
evt_032,32.Blazing A Trail: Dorothy Waugh’s National Parks Posters,"For New Yorkers, the National Parks of the U.S. may seem far away. But through February 22, 2026, Poster House is bringing the parks to us in ""Blazing A Trail: Dorothy Waugh’s National Parks Posters."" It's the first exhibition dedicated to Waugh's parks campaign. ""Blazing A Trail"" features 17 travel posters designed between 1934 and 1936 by landscape architect and highly trained artist Dorothy Waugh, created for the National Park Service’s first ever poster campaign. Before Waugh came along, it was actually America’s railroad companies who were the main source of advertising for the National Parks Service in the 1870s. Their posters were, yes, attractive, but very conventional. Waugh was the first to advocate for the bureau to produce its own poster campaign, along with styling and messaging, separate from the railroads. Waugh continued this work for the rest of the 20th century, leaving a legacy that endures today.",https://www.timeout.com/newyork/art/blazing-a-trail-dorothy-waughs-national-parks-posters
evt_033,"33.""Witnessing Humanity: The Art of John Wilson"" at the Met","For over 60 years, American artist John Wilson created powerful and poetic works that reflected his life as a Black American artist and his ongoing quest for racial, social and economic justice. Until February 8, 2026, The Met on Fifth Avenue will host his first-ever solo museum show with more than 100 paintings, prints, drawings, sculptures and illustrated books. To start, the exhibition showcases work Wilson made while at art school in Boston, where his subjects included the horrors of Nazi Germany and American racial violence, as well as portraits of his family and neighborhood. Wilson happened to be a traveler, and work from his time in Paris, Mexico City and New York will also be on view. Finally, the exhibition concludes with Wilson’s return to Boston and his focus on portraiture. Wilson's sculpture of Dr. Martin Luther King Jr. at the United States Capitol and the monumental sculptureEternal Presence, two of his most celebrated works, will be on display.",https://www.timeout.com/newyork/art/witnessing-humanity-the-art-of-john-wilson-at-the-met
evt_034,34.Handmade Happy Hour,"Get your hands dirty and jump into the world of ceramics with Handmade Happy Hour—Greenwich House Pottery's new Friday night happy hour pottery classes this fall. These classes are perfect for beginners or pottery experts at any level, as you'll be guided by an expert teaching artist and provided all the tools and materials needed to make your pottery creation. Once you're done with your masterpiece and you've picked a glaze, they'll fire the piece to over 2000 degrees—then you can pick it up in about three weeks. It's a perfect night out for friends, a date or even going solo and meeting new creative friends. Every class is BYOB. Classes run from 7:30 to 9:30pm and cost $105 per person. The full schedule is here: •Oct. 10: Pottery Wheel•Oct. 17: Handbuilding Project•Oct. 24: Pottery Wheel•Nov. 7: Handbuilding Project•Nov. 14: Pottery Wheel•Nov. 21: Handbuilding Project•Dec. 5: Pottery Wheel•Dec. 12: Handbuilding Project",https://www.timeout.com/newyork/things-to-do/handmade-happy-hour
evt_035,35.Ai Weiwei's Camouflage,"World-renowned artist and activist Ai Weiwei is set to unveilCamouflage, a monumental new installation on Roosevelt Islandthrough December 1 that marks bothhis return to New Yorkand the launch of a new public art initiative: Art X Freedom. Opening to coincide with the 80th anniversary of the end of World War II and the 80th session of the U.N. General Assembly,Camouflagewill transform Four Freedoms Park into a contemplative sanctuary draped in netting. Visitors will be able to contribute handwritten reflections on freedom, tying them to the fabric of the work in a gesture of collective memory and resistance.",https://www.timeout.com/newyork/news/a-new-ai-weiwei-installation-will-cover-roosevelt-island-in-camouflage-netting-042525
evt_036,"36.""The New York Sari"" exhbit","Most people associate the sari with its South Asian origin. The New York Historical adds another layer to the garment's story by unearthing how the sari—and those who wear it—made New York City its home in a new exhibit opening soon.""The New York Sari: A Journey Through Tradition, Fashion, and Identity"" is on viewthrough April 2026. This exhibition traces the path of the sari from the Indian subcontinent to NYC, going from exotic object of trade to a tradition embraced by many communities. The sari holds many different identities; whether it be within consumer empires, dance and performance or explorations of gender and identity, museum officials explained.",https://www.timeout.com/newyork/news/explore-the-fascinating-nyc-history-of-the-sari-at-a-new-history-exhibition-opening-this-fall-071725
evt_037,"37.""Man Ray: When Objects Dream"" at the Met","On a cold winter day in 1921, artist Man Ray placed some of his glass equipment on top of an unexposed sheet of photographic paper he found among the prints in his developing tray. This ""mistake"" produced something the artist would later dub a ""rayograph,"" and was essentially a photo taken without a camera. The works' transformative nature led the Dada poet Tristan Tzara to describe rayographs as capturing the moments ""when objects dream,"" and you can see those pieces on display at The Met until February 2026. Drawing from the collections of The Met and more than 50 U.S. and international lenders, the presentation will include more than 60 rayographs and 100 paintings, objects, prints, drawings, films and photographs to highlight the central role of the rayograph in Man Ray’s  practice.",https://www.timeout.com/newyork/art/man-ray-when-objects-dream-at-the-met
evt_038,"38.""Masquerade"" immersive experience","The Phantom of the Operahasended its 35-year Broadway run, but you can't keep a masked man down for long. The Andrew Lloyd Webber musical—adapted by the composer and Richard Stilgoe from Gaston Leroux's 1910 horror novel—is already somehow here again, and in a surprising new form.It's now an immersive experience, à laSleep No More, in which audiences are leden masquethrough multiple locations in a complex designed to evoke the 19th-century Paris Opera House where soprano Christine Daaé is tutored and stalked by a serial killer who lives in the basement. Six groups of 60 spectators at a time enter at staggered 15-minute intervals; each group gets its own Phantom and Christine, but the other roles are played by one to four actors each; to help sustain the atmosphere, audience members must wear black, white or silver cocktail or formal attire—and, hopefully, comfortable shoes. (Masks are provided for those who do not bring their own.)",https://www.timeout.com/newyork/theater/masquerade-1
evt_039,39.An Ecology of Quilts: The Natural History of American Textiles,"Wrap yourself up in the artistry of quilts at a new exhibit this fall. The American Folk Art Museum is launching a new exhibition, ""An Ecology of Quilts: The Natural History of American Textiles"" as part of its Lincoln Square reopening. The exhibition features approximately 30 quilts spanning the 18th to 20th centuries and weaves together the relationships between the environment and traditional quilting practices. The show, curated by Emelie Gevalt, promises ""a groundbreaking exploration of the natural history of American textiles."" It will take an ecological perspective into the many facets of global material culture that emerged in the early American republic through the 20th century. The exhibit will be on view until March 1, 2026.",https://www.timeout.com/newyork/art/an-ecology-of-quilts-the-natural-history-of-american-textiles
evt_040,"40.""Amaze"" magic show","The British conjurer Jamie Allan (iMagician), a Houdini aficionado who has made his reputation by infusing newfangled technology and emotionally charged storyelling into old-school tricks, appears at New World Stages for a limited run. This latest showcase is directed by Jonathan Goodwin and co-created with Allan's longtime partner in illusions, Tommy Bond.",https://www.timeout.com/newyork/theater/amaze
